Fill BeamE StartT BluePolAvrg err BlueP0 err BluedPdT err YellowPAvrg err YellowP0 err YellowdPdT err
15314 250 1300654035 45.59 2.59 51.01 2.29 -1.82 0.33 57.39 2.27 59.88 1.95 -0.80 0.27
15315 250 1300697110 50.52 3.74 53.88 3.04 -3.69 1.43 58.27 3.62 56.78 2.95 -0.36 1.22
15316 250 1300718543 50.27 3.27 52.95 2.65 -1.07 0.52 53.63 3.12 55.13 2.51 -0.34 0.50
15322 250 1300789891 47.50 2.92 49.15 2.52 -1.06 0.34 54.07 2.62 52.02 2.32 -0.61 0.29
15324 250 1300835059 50.70 2.66 52.99 2.22 -0.39 0.30 55.31 2.32 55.72 2.04 -1.09 0.29
15325 250 1300872561 52.62 2.91 52.46 2.91 -0.67 0.67 59.56 3.22 55.70 3.22 -0.88 0.63
15330 250 1300919423 40.93 5.02 40.80 5.02 -0.67 0.67 58.28 3.26 57.12 3.26 -0.88 0.63
15335 250 1300952887 51.04 2.32 51.39 2.00 -0.11 0.26 55.25 2.55 57.54 2.21 -0.72 0.28
15337 250 1300999444 53.81 3.19 54.76 2.72 -0.18 0.39 54.42 2.59 58.41 2.24 -1.49 0.34
15338 250 1301036261 54.10 3.23 56.32 2.78 -0.93 0.44 54.93 3.78 58.74 3.19 -1.06 0.56
15353 250 1301165042 60.49 3.36 61.63 3.36 -0.67 0.67 64.93 3.39 64.36 3.39 -0.88 0.63
15356 250 1301182598 54.62 3.19 57.97 2.79 -0.94 0.39 55.88 4.31 59.80 3.70 -1.33 0.55
15357 250 1301218034 57.11 4.60 50.47 4.60 -0.67 0.67 59.61 4.54 60.18 4.54 -0.88 0.63
15359 250 1301246793 56.96 2.93 58.08 2.93 -0.67 0.67 56.64 2.67 56.68 2.67 -0.88 0.63
15363 250 1301262178 52.91 2.49 56.02 2.12 -0.24 0.30 53.01 2.73 56.26 2.48 -0.56 0.28
15364 250 1301299531 55.73 2.58 59.03 2.27 -0.52 0.27 52.15 2.72 55.36 2.50 -1.10 0.30
15365 250 1301342511 52.41 2.24 56.20 1.86 -0.99 0.33 52.55 2.95 53.88 2.53 -0.75 0.42
15366 250 1301379527 55.54 2.52 58.80 2.11 -0.10 0.30 54.79 2.26 56.73 1.94 -0.90 0.30
15368 250 1301425039 58.78 3.07 62.67 3.01 -0.48 0.45 51.80 2.24 53.28 1.92 -0.95 0.30
15370 250 1301477444 61.71 3.35 62.02 3.35 -0.67 0.67 54.45 1.99 54.82 1.99 -0.88 0.63
15372 250 1301532703 58.44 3.09 59.47 2.66 -0.20 0.36 52.08 3.87 54.27 3.03 -0.38 0.58
15376 250 1301588381 54.15 2.43 57.71 2.14 -0.52 0.25 51.76 2.16 51.53 1.89 -0.29 0.25
15378 250 1301633633 56.34 2.43 55.20 2.08  0.09 0.24 48.63 2.02 48.63 2.02 -0.88 0.63
15380 250 1301694547 53.80 2.84 50.58 2.30  0.45 0.39 52.86 2.41 54.91 2.13 -1.16 0.35
15381 250 1301737693 55.53 4.51 56.79 4.51 -0.67 0.67 53.85 5.07 54.22 5.07 -0.88 0.63
15386 250 1301789447 51.84 2.84 54.11 2.25 -0.16 0.39 47.16 2.74 54.18 2.30 -1.26 0.38
15390 250 1301840523 45.20 2.60 48.05 2.60 -0.67 0.67 50.24 2.42 50.38 2.42 -0.88 0.63
15392 250 1301861363 52.33 2.49 56.37 2.17 -0.84 0.29 51.17 1.94 53.41 1.77 -1.04 0.24
15393 250 1301897518 49.09 3.29 48.75 3.23 -0.22 0.40 48.33 1.74 50.01 1.44 -0.34 0.21
15397 250 1301963568 52.29 2.24 55.56 1.97 -0.60 0.25 44.80 2.02 47.18 1.78 -1.04 0.24
15399 250 1302024355 55.42 2.76 57.71 2.43 -0.76 0.31 47.96 2.12 49.51 1.85 -0.90 0.27
15402 250 1302070710 61.09 3.45 57.43 3.45 -0.67 0.67 49.77 1.96 50.04 1.96 -0.88 0.63
15403 250 1302084027 52.37 2.45 51.01 2.15 -0.52 0.27 46.67 2.21 48.67 1.84 -0.75 0.28
15404 250 1302123015 56.02 3.45 54.14 3.45 -0.67 0.67 49.14 2.31 47.91 2.31 -0.88 0.63
15408 250 1302141640 51.61 2.30 56.05 1.97 -0.83 0.24 47.17 1.88 49.36 1.67 -0.77 0.19
15419 250 1302242115 49.68 3.49 49.65 2.87  0.09 0.44 48.64 3.75 51.29 2.98 -0.55 0.52
